Fahrten,Namen
1040,Herisau - Waldstatt
895,Appenzell - Herisau
714,Herisau - Urnäsch
506,St. Gallen - Waldstatt
427,Herisau - Teufen (AR)
411,Appenzell - Gossau (SG)
373,Appenzell - St. Gallen
370,Herisau - Hundwil
362,Herisau - Stein (AR)
319,St. Gallen - Urnäsch
204,Herisau - Schönengrund
184,Gossau (SG) - Waldstatt
163,Appenzell - Gaiserwald
154,Bühler - Herisau
145,Gossau (SG) - Urnäsch
128,Appenzell - Kirchberg (SG)
123,Neckertal - St. Gallen
116,Gais - Herisau
110,Herisau - Schlatt-Haslen
108,Appenzell - Zürich
