Fahrten,Namen
3033,158 (Regiobus Gossau SG)
1822,S4 (Schweizerische Südostbahn (sob))
1565,S2 (THURBO)
1545,RE1 (THURBO)
1090,S23 (Appenzeller Bahnen (ab))
915,S5 (THURBO)
876,172 (Verkehrsbetriebe Herisau)
758,VAE (Schweizerische Südostbahn (sob))
700,151 (Regiobus Gossau SG)
676,S1 (THURBO)
654,S81 (Schweizerische Südostbahn (sob))
571,4 (Verkehrsbetriebe der Stadt St.Gallen)
494,182 (PostAuto AG)
348,152 (Regiobus Gossau SG)
346,2 (Verkehrsbetriebe der Stadt St.Gallen)
328,1 (Verkehrsbetriebe der Stadt St.Gallen)
300,S21 (Appenzeller Bahnen (ab))
280,IR13 (Schweizerische Bundesbahnen SBB)
274,180 (PostAuto AG)
255,174 (Verkehrsbetriebe Herisau)
