Fahrten,Namen
3401,Gossau (SG) - Herisau
562,Herisau - Kirchberg (SG)
436,Flawil - Herisau
393,Appenzell - Gossau (SG)
354,Herisau - Oberuzwil
293,Herisau - Oberbüren
229,Herisau - Uzwil
186,Herisau - Zürich
175,Gossau (SG) - Waldstatt
155,Bischofszell - Herisau
155,Herisau - Winterthur
142,Herisau - Waldkirch
139,Gossau (SG) - Urnäsch
139,Herisau - Zuzwil (SG)
128,Appenzell - Kirchberg (SG)
125,Herisau - Jonschwil
108,Appenzell - Zürich
105,Hefenhofen - Herisau
96,Gossau (SG) - Schwellbrunn
94,Frauenfeld - Herisau
