Fahrten,Namen
3223,S23 (Appenzeller Bahnen (ab))
1062,S1 (THURBO)
816,158 (Regiobus Gossau SG)
608,IC1 (Schweizerische Bundesbahnen SBB)
575,S5 (THURBO)
540,152 (Regiobus Gossau SG)
520,151 (Regiobus Gossau SG)
486,172 (Verkehrsbetriebe Herisau)
472,IR13 (Schweizerische Bundesbahnen SBB)
363,RE1 (THURBO)
342,S21 (Appenzeller Bahnen (ab))
237,VAE (Schweizerische Südostbahn (sob))
187,175 (Verkehrsbetriebe Herisau)
184,S4 (Schweizerische Südostbahn (sob))
162,IC5 (Schweizerische Bundesbahnen SBB)
161,180 (PostAuto AG)
160,727 (PostAuto AG)
114,740 (PostAuto AG)
113,S12 (Schweizerische Bundesbahnen SBB)
111,S9 (THURBO)
