Fahrten,Namen
271,S23 (Appenzeller Bahnen (ab))
118,RE1 (THURBO)
108,IC1 (Schweizerische Bundesbahnen SBB)
100,IR13 (Schweizerische Bundesbahnen SBB)
98,VAE (Schweizerische Südostbahn (sob))
74,IC5 (Schweizerische Bundesbahnen SBB)
66,S1 (THURBO)
55,S21 (Appenzeller Bahnen (ab))
48,S12 (Schweizerische Bundesbahnen SBB)
42,158 (Regiobus Gossau SG)
29,152 (Regiobus Gossau SG)
29,S4 (Schweizerische Südostbahn (sob))
29,S5 (THURBO)
28,S5 (Schweizerische Bundesbahnen SBB)
26,172 (Verkehrsbetriebe Herisau)
19,180 (PostAuto AG)
16,S10 (THURBO)
15,151 (Regiobus Gossau SG)
14,IC8 (Schweizerische Bundesbahnen SBB)
12,S2 (Schweizerische Bundesbahnen SBB)
