Fahrten,Namen
2117,Appenzell - St. Gallen
2099,St. Gallen - Teufen (AR)
746,Schlatt-Haslen - St. Gallen
744,St. Gallen - Stein (AR)
612,Gais - St. Gallen
607,Bühler - St. Gallen
331,Altstätten - St. Gallen
302,Rüte - St. Gallen
202,Gaiserwald - Teufen (AR)
168,Gossau (SG) - Teufen (AR)
107,Gonten - St. Gallen
102,Hundwil - St. Gallen
99,St. Gallen - Urnäsch
74,Appenzell - Wittenbach
69,Teufen (AR) - Wittenbach
65,Gais - Gaiserwald
61,Appenzell - Arbon
60,Herisau - Teufen (AR)
59,Appenzell - Gaiserwald
58,Bühler - Gaiserwald
