Fahrten,Namen
392,S21 (Appenzeller Bahnen (ab))
86,S2 (THURBO)
83,180 (PostAuto AG)
76,S1 (THURBO)
62,IR13 (Schweizerische Bundesbahnen SBB)
54,4 (Verkehrsbetriebe der Stadt St.Gallen)
53,S22 (Appenzeller Bahnen (ab))
47,S23 (Appenzeller Bahnen (ab))
34,7 (Verkehrsbetriebe der Stadt St.Gallen)
31,IC5 (Schweizerische Bundesbahnen SBB)
27,S4 (Schweizerische Südostbahn (sob))
23,S5 (THURBO)
22,EC (Schweizerische Bundesbahnen SBB)
17,RE1 (THURBO)
17,1 (Verkehrsbetriebe der Stadt St.Gallen)
17,300 (Bus Ostschweiz (Rheintal))
12,VAE (Schweizerische Südostbahn (sob))
11,151 (Regiobus Gossau SG)
10,3 (Verkehrsbetriebe der Stadt St.Gallen)
8,IC1 (Schweizerische Bundesbahnen SBB)
