Fahrten,Namen
199,St. Gallen - Teufen (AR)
103,Altstätten - St. Gallen
62,Gais - St. Gallen
61,Gaiserwald - Teufen (AR)
52,St. Gallen - Stein (AR)
46,St. Gallen - Urnäsch
39,Gossau (SG) - Teufen (AR)
33,Teufen (AR) - Zürich
32,Bühler - St. Gallen
22,Flawil - Teufen (AR)
21,Rorschach - Teufen (AR)
20,Teufen (AR) - Winterthur
19,Gais - Winterthur
19,Gais - Gaiserwald
18,Appenzell - St. Gallen
15,Hundwil - St. Gallen
15,Gonten - St. Gallen
14,Rorschacherberg - Teufen (AR)
13,Kloten - Teufen (AR)
13,Gais - Zürich
