Fahrten,Namen
1919,S23 (Appenzeller Bahnen (ab))
546,S21 (Appenzeller Bahnen (ab))
260,IR13 (Schweizerische Bundesbahnen SBB)
229,174 (Verkehrsbetriebe Herisau)
208,S5 (THURBO)
186,S4 (Schweizerische Südostbahn (sob))
174,IC1 (Schweizerische Bundesbahnen SBB)
151,S1 (THURBO)
128,180 (PostAuto AG)
111,4 (Verkehrsbetriebe der Stadt St.Gallen)
109,331 (Bus Ostschweiz (Rheintal))
96,S2 (THURBO)
88,300 (Bus Ostschweiz (Rheintal))
80,151 (Regiobus Gossau SG)
74,182 (PostAuto AG)
71,IR13 (Schweizerische Südostbahn (sob))
70,158 (Regiobus Gossau SG)
68,191 (PostAuto AG)
67,VAE (Schweizerische Südostbahn (sob))
64,332 (Bus Ostschweiz (Rheintal))
