Fahrten,Namen
1518,Heiden - St. Gallen
278,Eggersriet - Heiden
229,Oberegg - St. Gallen
199,Heiden - Herisau
142,Grub (AR) - Heiden
102,Gossau (SG) - Heiden
95,Gaiserwald - Heiden
65,Heiden - Rorschach
51,Reute (AR) - St. Gallen
43,Goldach - Heiden
41,Heiden - Wittenbach
40,Heiden - Rorschacherberg
34,Grub (AR) - Oberegg
33,Au (SG) - Eggersriet
32,St. Gallen - Wolfhalden
30,Eggersriet - Oberegg
30,Eggersriet - Wolfhalden
27,Eggersriet - St. Margrethen
26,Heiden - Kirchberg (SG)
26,Heiden - Speicher
