Fahrten,Namen
185,120 (PostAuto AG)
13,121 (PostAuto AG)
10,IC5 (Schweizerische Bundesbahnen SBB)
10,7 (Verkehrsbetriebe der Stadt St.Gallen)
9,IC1 (Schweizerische Bundesbahnen SBB)
8,VAE (Schweizerische Südostbahn (sob))
6,S4 (Schweizerische Südostbahn (sob))
6,222 (PostAuto AG)
5,4 (Verkehrsbetriebe der Stadt St.Gallen)
4,226 (PostAuto AG)
4,1 (Verkehrsbetriebe der Stadt St.Gallen)
4,IR13 (Schweizerische Bundesbahnen SBB)
3,151 (Regiobus Gossau SG)
3,EC (Schweizerische Bundesbahnen SBB)
2,S2 (THURBO)
2,S5 (Schweizerische Bundesbahnen SBB)
2,S1 (THURBO)
1,S25 (Appenzeller Bahnen (ab))
1,S7 (THURBO)
1,230 (PostAuto AG)
