Fahrten,Namen
55,S21 (Appenzeller Bahnen (ab))
17,IR13 (Schweizerische Bundesbahnen SBB)
17,S23 (Appenzeller Bahnen (ab))
12,S20 (Appenzeller Bahnen (ab))
10,S2 (THURBO)
5,VAE (Schweizerische Südostbahn (sob))
4,S4 (Schweizerische Südostbahn (sob))
3,RE1 (THURBO)
3,IR13 (Schweizerische Südostbahn (sob))
3,S24 (Appenzeller Bahnen (ab))
2,791 (PostAuto AG)
2,S1 (THURBO)
2,770 (Busbetrieb Lichtensteig-Wattwil-Ebnat-Kappel)
1,IC5 (Schweizerische Bundesbahnen SBB)
1,321 (Bus Ostschweiz (Rheintal))
1,300 (Bus Ostschweiz (Rheintal))
1,304 (Bus Ostschweiz (Rheintal))
1,301 (Bus Ostschweiz (Rheintal))
1,IR35 (Schweizerische Südostbahn (sob))
1,335 (Bus Ostschweiz (Rheintal))
