Fahrten,Namen
1540,S21 (Appenzeller Bahnen (ab))
449,S22 (Appenzeller Bahnen (ab))
141,2 (Verkehrsbetriebe der Stadt St.Gallen)
139,8 (Verkehrsbetriebe der Stadt St.Gallen)
108,121 (PostAuto AG)
97,230 (PostAuto AG)
76,4 (Verkehrsbetriebe der Stadt St.Gallen)
75,6 (Verkehrsbetriebe der Stadt St.Gallen)
47,S1 (THURBO)
40,1 (Verkehrsbetriebe der Stadt St.Gallen)
40,151 (Regiobus Gossau SG)
36,190 (PostAuto AG)
33,IC1 (Schweizerische Bundesbahnen SBB)
30,229 (PostAuto AG)
29,S4 (Schweizerische Südostbahn (sob))
27,RE1 (THURBO)
25,3 (Verkehrsbetriebe der Stadt St.Gallen)
23,120 (PostAuto AG)
19,S2 (THURBO)
18,S5 (THURBO)
