Fahrten,Namen
21,S21 (Appenzeller Bahnen (ab))
5,S22 (Appenzeller Bahnen (ab))
5,IR13 (Schweizerische Bundesbahnen SBB)
3,IC5 (Schweizerische Bundesbahnen SBB)
2,6 (Verkehrsbetriebe der Stadt St.Gallen)
2,S5 (THURBO)
2,S1 (THURBO)
2,S2 (THURBO)
2,2 (Verkehrsbetriebe der Stadt St.Gallen)
1,121 (PostAuto AG)
1,EC (Schweizerische Bundesbahnen SBB)
1,151 (Regiobus Gossau SG)
1,S12 (Schweizerische Bundesbahnen SBB)
1,S4 (Schweizerische Südostbahn (sob))
1,201 (PostAuto AG)
1,331 (Bus Ostschweiz (Rheintal))
1,S11 (Schweizerische Bundesbahnen SBB)
1,520 (PostAuto AG)
1,4 (Verkehrsbetriebe Zürich INFO+)
0,180 (PostAuto AG)
