Fahrten,Namen
631,222 (PostAuto AG)
260,S4 (Schweizerische Südostbahn (sob))
127,225 (PostAuto AG)
114,224 (PostAuto AG)
111,120 (PostAuto AG)
59,EC (Schweizerische Bundesbahnen SBB)
55,226 (PostAuto AG)
50,2 (Verkehrsbetriebe der Stadt St.Gallen)
44,S2 (THURBO)
34,S26 (Appenzeller Bahnen (ab))
24,305 (Bus Ostschweiz (Rheintal))
21,IR13 (Schweizerische Bundesbahnen SBB)
21,121 (PostAuto AG)
17,230 (PostAuto AG)
15,S25 (Appenzeller Bahnen (ab))
15,S21 (Appenzeller Bahnen (ab))
13,304 (Bus Ostschweiz (Rheintal))
13,S5 (THURBO)
11,229 (PostAuto AG)
11,242 (PostAuto AG)
