Fahrten,Namen
20,222 (PostAuto AG)
13,224 (PostAuto AG)
9,S4 (Schweizerische Südostbahn (sob))
6,120 (PostAuto AG)
3,IR13 (Schweizerische Bundesbahnen SBB)
3,226 (PostAuto AG)
3,300 (Bus Ostschweiz (Rheintal))
2,400 (Bus Ostschweiz (Rheintal))
1,323 (Bus Ostschweiz (Rheintal))
1,321 (Bus Ostschweiz (Rheintal))
1,353 (Bus Ostschweiz (Rheintal))
1,IR35 (Schweizerische Südostbahn (sob))
1,401 (Bus Ostschweiz (Rheintal))
1,S25 (Appenzeller Bahnen (ab))
1,IR13 (Schweizerische Südostbahn (sob))
0,EC (Schweizerische Bundesbahnen SBB)
0,2 (Stadtbus Winterthur)
0,IC5 (Schweizerische Bundesbahnen SBB)
0,12 (Bus und Service AG (Chur))
0,S2 (Rhätische Bahn)
